#  Nr    Dist               Kx                 Ky                 Kz                 band1(1)           band2(1)           band3(1)           band4(1)           band5(0)           band6(0)           band7(0)           band8(0)           band9(0)           band10(0)          band11(0)          band12(0)         
  21     0.269230770000     0.000000000000     0.269230770000     0.380749806342    -9.094800000000     4.673600000000     5.338900000000     5.338900000000    14.155300000000    19.442100000000    22.049800000000    22.049800000000    30.260500000000    32.385100000000    39.775900000000    43.211700000000
  22     0.282051280000     0.000000000000     0.282051280000     0.398880745461    -8.840400000000     4.270300000000     5.142200000000     5.142200000000    14.098000000000    19.036500000000    22.439500000000    22.439500000000    30.442700000000    32.521900000000    40.107400000000    43.643100000000
  23     0.294871790000     0.000000000000     0.294871790000     0.417011684579    -8.574900000000     3.859900000000     4.955400000000     4.955400000000    14.050400000000    18.642400000000    22.825200000000    22.825200000000    30.631200000000    32.684700000000    40.454300000000    44.029200000000
  24     0.307692310000     0.000000000000     0.307692310000     0.435142637840    -8.298700000000     3.443200000000     4.778800000000     4.778800000000    14.009700000000    18.261900000000    23.204600000000    23.204600000000    30.823100000000    32.833800000000    40.816500000000    44.337300000000
  25     0.320512820000     0.000000000000     0.320512820000     0.453273576958    -8.011700000000     3.022500000000     4.612600000000     4.612600000000    13.980200000000    17.896800000000    23.578100000000    23.578100000000    31.029900000000    32.990000000000    41.194200000000    44.534100000000
  26     0.333333330000     0.000000000000     0.333333330000     0.471404516077    -7.714300000000     2.595300000000     4.456900000000     4.456900000000    13.954500000000    17.547600000000    23.940300000000    23.940300000000    31.222100000000    33.108400000000    41.587400000000    44.596200000000
  27     0.346153850000     0.000000000000     0.346153850000     0.489535469338    -7.406700000000     2.164300000000     4.310100000000     4.310100000000    13.936800000000    17.215300000000    24.283700000000    24.283700000000    31.406500000000    33.210000000000    41.996700000000    44.529600000000
  28     0.358974360000     0.000000000000     0.358974360000     0.507666408456    -7.089000000000     1.730400000000     4.176300000000     4.176300000000    13.928500000000    16.900400000000    24.621300000000    24.621300000000    31.592800000000    33.294700000000    42.420400000000    44.363400000000
  29     0.371794870000     0.000000000000     0.371794870000     0.525797347575    -6.761400000000     1.294300000000     4.053600000000     4.053600000000    13.929700000000    16.603100000000    24.943600000000    24.943600000000    31.774600000000    33.362000000000    42.858900000000    44.132700000000
  30     0.384615380000     0.000000000000     0.384615380000     0.543928286693    -6.424200000000     0.857000000000     3.942300000000     3.942300000000    13.940800000000    16.323400000000    25.248300000000    25.248400000000    31.951100000000    33.411900000000    43.314100000000    43.867900000000
  31     0.397435900000     0.000000000000     0.397435900000     0.562059239954    -6.077600000000     0.419300000000     3.842300000000     3.842300000000    13.962100000000    16.061300000000    25.532800000000    25.532800000000    32.121600000000    33.444500000000    43.591500000000    43.598900000000
  32     0.410256410000     0.000000000000     0.410256410000     0.580190179072    -5.722000000000    -0.018100000000     3.753900000000     3.753900000000    13.994200000000    15.816500000000    25.794100000000    25.794100000000    32.285600000000    33.460200000000    43.319700000000    43.321500000000
  33     0.423076920000     0.000000000000     0.423076920000     0.598321118191    -5.357600000000    -0.454300000000     3.677100000000     3.677100000000    14.037500000000    15.588800000000    26.029200000000    26.029200000000    32.442300000000    33.459300000000    43.064500000000    43.071300000000
  34     0.435897440000     0.000000000000     0.435897440000     0.616452071452    -4.984800000000    -0.888600000000     3.612100000000     3.612100000000    14.092300000000    15.377900000000    26.235100000000    26.235100000000    32.591300000000    33.442500000000    42.834700000000    42.847700000000
  35     0.448717950000     0.000000000000     0.448717950000     0.634583010570    -4.604000000000    -1.320300000000     3.558800000000     3.558800000000    14.159200000000    15.183400000000    26.408800000000    26.408800000000    32.732000000000    33.410500000000    42.637500000000    42.648600000000
  36     0.461538460000     0.000000000000     0.461538460000     0.652713949689    -4.215500000000    -1.748700000000     3.517200000000     3.517200000000    14.238500000000    15.004900000000    26.547400000000    26.547400000000    32.863900000000    33.363900000000    42.478400000000    42.479000000000
  37     0.474358970000     0.000000000000     0.474358970000     0.670844888807    -3.819800000000    -2.174100000000     3.487400000000     3.487400000000    14.330800000000    14.837400000000    26.645000000000    26.645000000000    32.942000000000    33.303200000000    42.361700000000    42.367500000000
  38     0.487179490000     0.000000000000     0.487179490000     0.688975842068    -3.417100000000    -2.593700000000     3.470900000000     3.470900000000    14.437000000000    14.689800000000    26.706300000000    26.706300000000    33.059100000000    33.243500000000    42.296000000000    42.296100000000
  39     0.500000000000     0.000000000000     0.500000000000     0.707106781187    -3.008300000000    -3.008300000000     3.464900000000     3.464900000000    14.556300000000    14.556300000000    26.726800000000    26.726800000000    33.157100000000    33.157100000000    42.272000000000    42.272100000000
  40     0.500000000000     0.000000000000     0.500000000000     0.707106781187    -3.008300000000    -3.008300000000     3.464900000000     3.464900000000    14.556300000000    14.556300000000    26.726800000000    26.726800000000    33.157100000000    33.157100000000    42.272000000000    42.272000000000
  41     0.500000000000     0.006410260000     0.506410260000     0.716172257817    -3.007300000000    -3.007300000000     3.461500000000     3.461500000000    14.562600000000    14.562600000000    26.723900000000    26.723900000000    33.153100000000    33.153100000000    42.264400000000    42.270300000000
  42     0.500000000000     0.012820510000     0.512820510000     0.725237720305    -3.004400000000    -3.004400000000     3.451100000000     3.451100000000    14.581700000000    14.581700000000    26.715000000000    26.715000000000    33.141200000000    33.141200000000    42.242100000000    42.243600000000
  43     0.500000000000     0.019230770000     0.519230770000     0.734303196935    -2.999500000000    -2.999500000000     3.433800000000     3.433800000000    14.613300000000    14.613300000000    26.688000000000    26.688000000000    33.121400000000    33.121400000000    42.204800000000    42.210500000000
  44     0.500000000000     0.025641030000     0.525641030000     0.743368673566    -2.992800000000    -2.992800000000     3.408700000000     3.408700000000    14.656700000000    14.656700000000    26.654900000000    26.654900000000    33.082300000000    33.082300000000    42.149300000000    42.152200000000
  45     0.500000000000     0.032051280000     0.532051280000     0.752434136054    -2.984100000000    -2.984100000000     3.378400000000     3.378400000000    14.713100000000    14.713100000000    26.627600000000    26.627600000000    33.047300000000    33.047300000000    42.089000000000    42.089400000000
  46     0.500000000000     0.038461540000     0.538461540000     0.761499612684    -2.973400000000    -2.973400000000     3.341900000000     3.341900000000    14.781500000000    14.781500000000    26.594100000000    26.594100000000    33.005300000000    33.005300000000    42.019600000000    42.020900000000
